LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00741nas a2200229uu 4500," Rolle, Richard, of Hampole,  1865-1349"," The Form of Perfect Living and Other Prose Treatises  [electronic resource] /  Richard, of Hampole Rolle"," Project Gutenberg,  2008", Public domain in the USA., Text," Rolle, Richard, of Hampole, 1290?-1349", Christian life,,,, Project Gutenberg  25856, http://www.gutenberg.org/ebooks/25856
00791nas a2200253uu 4500," Wells, Carolyn,  1862-1942", Patty's Social Season  [electronic resource] /  Carolyn Wells," Project Gutenberg,  2008", Public domain in the USA., Text, Entertaining -- Juvenile fiction, Family -- Juvenile fiction, Friendship -- Juvenile fiction, Young women -- Juvenile fiction,, Project Gutenberg  25857, http://www.gutenberg.org/ebooks/25857
00719nas a2200229uu 4500," Binns, Jack,  1884-1959"," The Radio Boys Trailing a Voice; Or, Solving a Wireless Mystery  [electronic resource] /  Jack Binns"," Project Gutenberg,  2008", Public domain in the USA., Text, Boys -- Juvenile fiction, Radio -- Juvenile fiction,,,, Project Gutenberg  25858, http://www.gutenberg.org/ebooks/25858
01175nas a2200325uu 4500," Ellis, Edward Sylvester,  1840-1916"," The Telegraph Messenger Boy; Or, The Straight Road to Success  [electronic resource] /  Edward Sylvester Ellis"," Project Gutenberg,  2008", Public domain in the USA., Text, Conduct of life -- Juvenile fiction, Adventure stories, Telegraph -- Employees -- Juvenile fiction, Youth -- Conduct of life -- Juvenile fiction, Diligence -- Juvenile fiction, Project Gutenberg  25859, http://www.gutenberg.org/ebooks/25859
00632nas a2200205uu 4500,," Punch, or the London Charivari, Vol. 147, July 29, 1914  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, English wit and humor -- Periodicals,,,,, Project Gutenberg  25860, http://www.gutenberg.org/ebooks/25860
00730nas a2200217uu 4500," Nall, G. Herbert  (George Herbert),  1860-", Stories from Aulus Gellius :   Being Selections And Adaptations From The Noctes Atticae  [electronic resource] /  G. Herbert Nall," Project Gutenberg,  2008", Public domain in the USA., Text, Latin language -- Readers,,,,, Project Gutenberg  25861, http://www.gutenberg.org/ebooks/25861
00628nas a2200217uu 4500," Briggs, Austin,  1908-1973", The Chamber of Life  [electronic resource] /  Austin Briggs," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction,,,,, Project Gutenberg  25862, http://www.gutenberg.org/ebooks/25862
01294nas a2200313uu 4500," Imbert, Hugues,  1842-1905", Portraits et études; Lettres inédites de Georges Bizet  [electronic resource] /  Hugues Imbert," Project Gutenberg,  2008", Public domain in the USA., Text," Lamoreux, Charles, 1834-1899"," Widor, Charles Marie, 1844-1937"," Colonne, Edouard, 1838-1910"," Brahms, Johannes, 1833-1897. Deutsches Requiem"," Garcin, Jules Auguste, 1830-1896", Project Gutenberg  25863, http://www.gutenberg.org/ebooks/25863
00653nas a2200217uu 4500," Still, A. T.  (Andrew Taylor),  1828-1917", Philosophy of Osteopathy  [electronic resource] /  A. T. Still," Project Gutenberg,  2008", Public domain in the USA., Text, Osteopathic medicine,,,,, Project Gutenberg  25864, http://www.gutenberg.org/ebooks/25864
00874nas a2200277uu 4500," Wells, Carolyn,  1862-1942", Patty's Summer Days  [electronic resource] /  Carolyn Wells," Project Gutenberg,  2008", Public domain in the USA., Text, Vacations -- Juvenile fiction, Girls -- Juvenile fiction, Schools -- Juvenile fiction, Family -- Juvenile fiction, Automobiles -- Juvenile fiction, Project Gutenberg  25865, http://www.gutenberg.org/ebooks/25865
00654nas a2200217uu 4500," Hill, Grace Livingston,  1865-1947", The Search  [electronic resource] /  Grace Livingston Hill," Project Gutenberg,  2008", Public domain in the USA., Text, Man-woman relationships -- Fiction,,,,, Project Gutenberg  25866, http://www.gutenberg.org/ebooks/25866
00699nas a2200229uu 4500," Young, Francis Brett,  1884-1954", The Tragic Bride  [electronic resource] /  Francis Brett Young," Project Gutenberg,  2008", Public domain in the USA., Text, Married women -- Fiction, Man-woman relationships -- Fiction,,,, Project Gutenberg  25867, http://www.gutenberg.org/ebooks/25867
00700nas a2200217uu 4500," Coombs, Francis Lovell", The Young Railroaders :   Tales of Adventure and Ingenuity  [electronic resource] /  Francis Lovell Coombs," Project Gutenberg,  2008", Public domain in the USA., Text, Railroads -- Employees -- Juvenile fiction,,,,, Project Gutenberg  25868, http://www.gutenberg.org/ebooks/25868
00761nas a2200253uu 4500," Wells, Carolyn,  1862-1942", Patty's Success  [electronic resource] /  Carolyn Wells," Project Gutenberg,  2008", Public domain in the USA., Text, Artists -- Juvenile fiction, Christmas stories, Girls -- Juvenile fiction, Family -- Juvenile fiction,, Project Gutenberg  25869, http://www.gutenberg.org/ebooks/25869
00836nas a2200253uu 4500," Meade, L. T.,  1854-1914", A World of Girls :  The Story of a School  [electronic resource] /  L. T. Meade," Project Gutenberg,  2008", Public domain in the USA., Text, Friendship -- Juvenile fiction, Boarding schools -- England -- Juvenile fiction, Conduct of life -- Juvenile fiction, Christian life -- Juvenile fiction,, Project Gutenberg  25870, http://www.gutenberg.org/ebooks/25870
00682nas a2200217uu 4500," Best, Pieter,  1800-1852", Tijdtafel der geschiedenis van het vaderland :   In twintig lessen  [electronic resource] /  Pieter Best," Project Gutenberg,  2008", Public domain in the USA., Text, Netherlands -- History,,,,, Project Gutenberg  25871, http://www.gutenberg.org/ebooks/25871
00848nas a2200265uu 4500," Meade, L. T.,  1854-1914", Girls of the Forest  [electronic resource] /  L. T. Meade," Project Gutenberg,  2008", Public domain in the USA., Text, Sisters -- Juvenile fiction, Family life -- Juvenile fiction, Girls -- England -- Juvenile fiction, Aunts -- Juvenile fiction, Girls -- Conduct of life -- Juvenile fiction, Project Gutenberg  25872, http://www.gutenberg.org/ebooks/25872
00849nas a2200253uu 4500," Penrose, Margaret"," The Motor Girls on Crystal Bay; or, The Secret of the Red Oar  [electronic resource] /  Margaret Penrose"," Project Gutenberg,  2008", Public domain in the USA., Text, Detective and mystery stories, Boats and boating -- Juvenile fiction, Automobiles -- Juvenile fiction, Girls -- Societies and clubs -- Juvenile fiction,, Project Gutenberg  25873, http://www.gutenberg.org/ebooks/25873
00741nas a2200229uu 4500,," Birds, Illustrated by Color Photography, Vol. 1, No. 4 :   April, 1897  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Natural history -- Periodicals, Zoological illustration -- Periodicals, Birds -- Periodicals,,, Project Gutenberg  25874, http://www.gutenberg.org/ebooks/25874
00779nas a2200241uu 4500," Footner, Hulbert,  1879-1944", The Woman from Outside :   [On Swan River]  [electronic resource] /  Hulbert Footner," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- Fiction, Royal North West Mounted Police (Canada) -- Fiction, Detective and mystery stories,,, Project Gutenberg  25875, http://www.gutenberg.org/ebooks/25875
00703nas a2200217uu 4500," Brown, George Douglas,  1869-1902", The House with the Green Shutters  [electronic resource] /  George Douglas Brown," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Social life and customs -- 19th century -- Fiction,,,,, Project Gutenberg  25876, http://www.gutenberg.org/ebooks/25876
00743nas a2200241uu 4500," Putnam, George Haven,  1844-1930", The Little Gingerbread Man  [electronic resource] /  George Haven Putnam," Project Gutenberg,  2008", Public domain in the USA., Text, Gingerbread men -- Juvenile fiction, Fairy tales, Escapes -- Juvenile fiction,,, Project Gutenberg  25877, http://www.gutenberg.org/ebooks/25877
00832nas a2200253uu 4500," Gates, William,  1863-1940", Commentary Upon the Maya-Tzental Perez Codex :   with a Concluding Note Upon the Linguistic Problem of the Maya Glyphs  [electronic resource] /  William Gates," Project Gutenberg,  2008", Public domain in the USA., Text, Maya language -- Texts, Mayas -- History, Codex Peresianus,,, Project Gutenberg  25878, http://www.gutenberg.org/ebooks/25878
00746nas a2200229uu 4500," MacLean, J. P.  (John Patterson),  1848-1939", An Historical Account of the Settlements of Scotch Highlanders in America  [electronic resource] /  J. P. MacLean," Project Gutenberg,  2008", Public domain in the USA., Text, Scots -- America, Scots -- United States,,,, Project Gutenberg  25879, http://www.gutenberg.org/ebooks/25879
00598nas a2200205uu 4500,," American Poetry, 1922 :  A Miscellany  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, American poetry -- 20th century,,,,, Project Gutenberg  25880, http://www.gutenberg.org/ebooks/25880
00606nas a2200205uu 4500," Järnefelt, Akseli,  1871-1932", Kohtaloonsa kompastunut  [electronic resource] /  Akseli Järnefelt," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25881, http://www.gutenberg.org/ebooks/25881
00621nas a2200205uu 4500,, Famous Islands and Memorable Voyages  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text, Voyages and travels -- Juvenile literature,,,,, Project Gutenberg  25882, http://www.gutenberg.org/ebooks/25882
00728nas a2200229uu 4500," Denslow, W. W.  (William Wallace),  1856-1915", Denslow's Humpty Dumpty  [electronic resource] /  W. W. Denslow," Project Gutenberg,  2008", Public domain in the USA., Text, Picture books for children -- United States," Children's stories, American",,,, Project Gutenberg  25883, http://www.gutenberg.org/ebooks/25883
00674nas a2200217uu 4500," King, Charles,  1844-1933", Found in the Philippines :  The Story of a Woman's Letters  [electronic resource] /  Charles King," Project Gutenberg,  2008", Public domain in the USA., Text, Philippines -- Fiction,,,,, Project Gutenberg  25884, http://www.gutenberg.org/ebooks/25884
00717nas a2200241uu 4500," Williams, Ben Ames,  1889-1953", All the Brothers Were Valiant  [electronic resource] /  Ben Ames Williams," Project Gutenberg,  2008", Public domain in the USA., Text, Brothers -- Fiction, Sea stories, Oceania -- Fiction,,, Project Gutenberg  25885, http://www.gutenberg.org/ebooks/25885
00710nas a2200217uu 4500," Optic, Oliver,  1822-1897"," The Young Lieutenant; or, The Adventures of an Army Officer  [electronic resource] /  Oliver Optic"," Project Gutenberg,  2008", Public domain in the USA., Text," United States -- History -- Civil War, 1861-1865 -- Fiction",,,,, Project Gutenberg  25886, http://www.gutenberg.org/ebooks/25886
00683nas a2200229uu 4500," Kindermann, Henny"," Lola; Or, The Thought and Speech of Animals  [electronic resource] /  Henny Kindermann"," Project Gutenberg,  2008", Public domain in the USA., Text, Animal intelligence, Dogs -- Folklore,,,, Project Gutenberg  25887, http://www.gutenberg.org/ebooks/25887
00637nas a2200217uu 4500," Beebe, William,  1877-1962", Edge of the Jungle  [electronic resource] /  William Beebe," Project Gutenberg,  2008", Public domain in the USA., Text, Natural history -- Guyana,,,,, Project Gutenberg  25888, http://www.gutenberg.org/ebooks/25888
00877nas a2200253uu 4500," Lossing, Benson John,  1813-1891"," Washington and the American Republic, Vol. 3.  [electronic resource] /  Benson John Lossing"," Project Gutenberg,  2008", Public domain in the USA., Text, United States -- History -- 1789-1801," Washington, George, 1732-1799"," United States -- History -- Confederation, 1783-1789"," United States -- History -- Revolution, 1775-1783",, Project Gutenberg  25889, http://www.gutenberg.org/ebooks/25889
00700nas a2200229uu 4500,," Buchanan's Journal of Man, April 1887 :   Volume 1, Number 3  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Science -- Periodicals, Phrenology -- Periodicals, Medicine -- Periodicals,,, Project Gutenberg  25890, http://www.gutenberg.org/ebooks/25890
00671nas a2200217uu 4500," Brooks, A. E. C.,  1805-1898"," Answers to Prayer, from George Müller's Narratives  [electronic resource] /  A. E. C. Brooks"," Project Gutenberg,  2008", Public domain in the USA., Text, Prayer -- Christianity,,,,, Project Gutenberg  25891, http://www.gutenberg.org/ebooks/25891
00648nas a2200217uu 4500," Summers, Dudley Gloyne,  1892-1975", Eve to the Rescue  [electronic resource] /  Dudley Gloyne Summers," Project Gutenberg,  2008", Public domain in the USA., Text, California -- Fiction,,,,, Project Gutenberg  25892, http://www.gutenberg.org/ebooks/25892
00724nas a2200229uu 4500," Schwartz, Julia Augusta,  1873-", Beatrice Leigh at College :   A Story for Girls  [electronic resource] /  Julia Augusta Schwartz," Project Gutenberg,  2008", Public domain in the USA., Text, Young women -- Juvenile fiction, College stories,,,, Project Gutenberg  25893, http://www.gutenberg.org/ebooks/25893
00817nas a2200229uu 4500," Walker, James,  1794-1874"," The Spirit Proper to the Times :   A Sermon preached in King's Chapel, Boston, Sunday, May 12, 1861  [electronic resource] /  James Walker"," Project Gutenberg,  2008", Public domain in the USA., Text," United States -- History -- Civil War, 1861-1865 -- Sermons", Unitarian Universalist churches -- Sermons,,,, Project Gutenberg  25894, http://www.gutenberg.org/ebooks/25894
00700nas a2200217uu 4500," Watts, Susannah,  1768-1842", A Walk through Leicester :   being a Guide to Strangers  [electronic resource] /  Susannah Watts," Project Gutenberg,  2008", Public domain in the USA., Text, Leicester (England) -- Description and travel,,,,, Project Gutenberg  25895, http://www.gutenberg.org/ebooks/25895
00704nas a2200229uu 4500," Anderson, Victor C.,  1853-1922", Tommy Trot's Visit to Santa Claus  [electronic resource] /  Victor C. Anderson," Project Gutenberg,  2008", Public domain in the USA., Text, Christmas stories, Santa Claus -- Juvenile fiction,,,, Project Gutenberg  25896, http://www.gutenberg.org/ebooks/25896
00731nas a2200217uu 4500," Ruskin, John,  1819-1900"," Aratra Pentelici, Seven Lectures on the Elements of Sculpture :   Given before the University of Oxford in Michaelmas Term, 1870  [electronic resource] /  John Ruskin"," Project Gutenberg,  2008", Public domain in the USA., Text, Sculpture,,,,, Project Gutenberg  25897, http://www.gutenberg.org/ebooks/25897
00796nas a2200229uu 4500," Testa, Carlos,  1823-1891", A politica intercolonial e internacional e o tratado de Lourenço Marques :   Additamento á influencia europea na Africa  [electronic resource] /  Carlos Testa," Project Gutenberg,  2008", Public domain in the USA., Text, Maputo (Mozambique : Province), Portugal -- Colonies -- Africa,,,, Project Gutenberg  25898, http://www.gutenberg.org/ebooks/25898
00661nas a2200217uu 4500," Clouston, J. Storer  (Joseph Storer),  1870-1944", The Prodigal Father  [electronic resource] /  J. Storer Clouston," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Fiction,,,,, Project Gutenberg  25899, http://www.gutenberg.org/ebooks/25899
00839nas a2200229uu 4500," Bartol, C. A.  (Cyrus Augustus),  1813-1900"," Senatorial Character :   A Sermon in West Church, Boston, Sunday, 15th of March, After the Decease of Charles Sumner.  [electronic resource] /  C. A. Bartol"," Project Gutenberg,  2008", Public domain in the USA., Text," United States -- History -- Civil War, 1861-1865 -- Sermons"," Sumner, Charles, 1811-1874",,,, Project Gutenberg  25900, http://www.gutenberg.org/ebooks/25900
00708nas a2200205uu 4500,," The New Testament :   Translated From the Original Greek, With Chronological Arrangement of the Sacred Books, and Improved Divisions of Chapters and Verses.  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Bible. New Testament,,,,, Project Gutenberg  25901, http://www.gutenberg.org/ebooks/25901
00898nas a2200241uu 4500," Macaulay, Thomas Babington Macaulay, Baron,  1800-1859"," The History of England, from the Accession of James II. :   Complete Contents of the Five Volumes  [electronic resource] /  Thomas Babington Macaulay, Baron Macaulay"," Project Gutenberg,  2008", Public domain in the USA., Text," Great Britain -- History -- James II, 1685-1688"," Great Britain -- History -- William and Mary, 1689-1702", Indexes,,, Project Gutenberg  25902, http://www.gutenberg.org/ebooks/25902
00801nas a2200229uu 4500," Macaulay, Thomas Babington Macaulay, Baron,  1800-1859"," The Miscellaneous Writings and Speeches of Lord Macaulay :   Complete Table of Contents of the Four Volumes  [electronic resource] /  Thomas Babington Macaulay, Baron Macaulay"," Project Gutenberg,  2008", Public domain in the USA., Text, Indexes, English essays,,,, Project Gutenberg  25903, http://www.gutenberg.org/ebooks/25903
00707nas a2200229uu 4500," Meyer, F. B.  (Frederick Brotherton),  1847-1929", John the Baptist  [electronic resource] /  F. B. Meyer," Project Gutenberg,  2008", Public domain in the USA., Text," John the Baptist, Saint", Bible. New Testament -- Biography,,,, Project Gutenberg  25904, http://www.gutenberg.org/ebooks/25904
00839nas a2200241uu 4500," Compton, D. A.,  1818-1874"," The $100 Prize Essay on the Cultivation of the Potato. :   Prize offered by W. T. Wylie and awarded to D. H. Compton. How to Cook the Potato, Furnished by Prof. Blot.  [electronic resource] /  D. A. Compton"," Project Gutenberg,  2008", Public domain in the USA., Text, Agriculture, Potatoes," Plants, Cultivated",,, Project Gutenberg  25905, http://www.gutenberg.org/ebooks/25905
00699nas a2200217uu 4500,," The American Missionary — Volume 50, No. 9, September, 1896  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Home missions -- Periodicals, Congregational churches -- Missions -- Periodicals,,,, Project Gutenberg  25906, http://www.gutenberg.org/ebooks/25906
00721nas a2200241uu 4500," Eastman, Charles Alexander,  1858-1939", Indian Child Life  [electronic resource] /  Charles Alexander Eastman," Project Gutenberg,  2008", Public domain in the USA., Text, Indian children -- North America, Dakota Indians,,,, Project Gutenberg  25907, http://www.gutenberg.org/ebooks/25907
00721nas a2200229uu 4500," Boynton, Henry Walcott,  1869-1947", Washington Irving  [electronic resource] /  Henry Walcott Boynton," Project Gutenberg,  2008", Public domain in the USA., Text," Authors, American -- 19th century -- Biography"," Irving, Washington, 1783-1859",,,, Project Gutenberg  25908, http://www.gutenberg.org/ebooks/25908
00625nas a2200205uu 4500,," The Arena :   Volume 4, No. 24, November, 1891  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, American literature -- Periodicals,,,,, Project Gutenberg  25909, http://www.gutenberg.org/ebooks/25909
00631nas a2200217uu 4500," Bindloss, Harold,  1866-1945", The Long Portage  [electronic resource] /  Harold Bindloss," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- Fiction,,,,, Project Gutenberg  25910, http://www.gutenberg.org/ebooks/25910
00882nas a2200253uu 4500," Mahan, A. T.  (Alfred Thayer),  1840-1914", Sea Power in its Relations to the War of 1812 :   Volume 1  [electronic resource] /  A. T. Mahan," Project Gutenberg,  2008", Public domain in the USA., Text, United States. Navy -- History -- War of 1812, United States -- History -- War of 1812, Sea-power, United States -- History -- War of 1812 -- Naval operations,, Project Gutenberg  25911, http://www.gutenberg.org/ebooks/25911
00882nas a2200253uu 4500," Mahan, A. T.  (Alfred Thayer),  1840-1914", Sea Power in its Relations to the War of 1812 :   Volume 2  [electronic resource] /  A. T. Mahan," Project Gutenberg,  2008", Public domain in the USA., Text, United States -- History -- War of 1812, United States. Navy -- History -- War of 1812, Sea-power, United States -- History -- War of 1812 -- Naval operations,, Project Gutenberg  25912, http://www.gutenberg.org/ebooks/25912
01283nas a2200253uu 4500," Pyle, Katharine,  1863-1938", Tales of Folk and Fairies  [electronic resource] /  Katharine Pyle," Project Gutenberg,  2008", Public domain in the USA., Text, Folklore, Fairy tales,,,, Project Gutenberg  25913, http://www.gutenberg.org/ebooks/25913
00733nas a2200229uu 4500," Core, Mary Kennedy", The Khaki Kook Book :   A Collection of a Hundred Cheap and Practical Recipes Mostly from Hindustan  [electronic resource] /  Mary Kennedy Core," Project Gutenberg,  2008", Public domain in the USA., Text, Cookbooks," Cooking, Indic",,,, Project Gutenberg  25914, http://www.gutenberg.org/ebooks/25914
00777nas a2200241uu 4500, Unknown, James Lane Allen :  A Sketch of his Life and Work  [electronic resource] /  Unknown," Project Gutenberg,  2008", Public domain in the USA., Text," Authors, American -- 19th century -- Biography"," Allen, James Lane, 1849-1925",,,, Project Gutenberg  25915, http://www.gutenberg.org/ebooks/25915
00643nas a2200217uu 4500," Dunton, W. Herbert,  1878-1936", Prescott of Saskatchewan  [electronic resource] /  W. Herbert Dunton," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- Fiction,,,,, Project Gutenberg  25916, http://www.gutenberg.org/ebooks/25916
00661nas a2200217uu 4500," Dingle, Aylward Edward,  1874-", Gold Out of Celebes  [electronic resource] /  Aylward Edward Dingle," Project Gutenberg,  2008", Public domain in the USA., Text, Adventure and adventurers -- Fiction,,,,, Project Gutenberg  25917, http://www.gutenberg.org/ebooks/25917
00737nas a2200217uu 4500,," Heads and Tales ;  or, Anecdotes and Stories of Quadrupeds and Other Beasts, Chiefly Connected with Incidents in the Histories of More or Less Distinguished Men.  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Animals -- Anecdotes, Mammals,,,, Project Gutenberg  25918, http://www.gutenberg.org/ebooks/25918
00794nas a2200253uu 4500," Benson, E. F.  (Edward Frederic),  1867-1940", Miss Mapp  [electronic resource] /  E. F. Benson," Project Gutenberg,  2008", Public domain in the USA., Text, Women -- England -- Fiction, Female friendship -- Fiction, Humorous stories," Mapp, Miss (Fictitious character) -- Fiction",, Project Gutenberg  25919, http://www.gutenberg.org/ebooks/25919
00683nas a2200229uu 4500," Turner, Corinne", The Mission of Janice Day  [electronic resource] /  Corinne Turner," Project Gutenberg,  2008", Public domain in the USA., Text, Young women -- Juvenile fiction, Mexico -- Juvenile fiction,,,, Project Gutenberg  25920, http://www.gutenberg.org/ebooks/25920
00641nas a2200217uu 4500," Bartimeus,  1886-1967", The Long Trick  [electronic resource] /  Bartimeus," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918 -- England -- Fiction",,,,, Project Gutenberg  25921, http://www.gutenberg.org/ebooks/25921
00759nas a2200241uu 4500," Bindloss, Harold,  1866-1945", Masters of the Wheat-Lands  [electronic resource] /  Harold Bindloss," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- Fiction, Man-woman relationships -- Fiction, Triangles (Interpersonal relations) -- Fiction,,, Project Gutenberg  25922, http://www.gutenberg.org/ebooks/25922
00748nas a2200241uu 4500," Bindloss, Harold,  1866-1945", Brandon of the Engineers  [electronic resource] /  Harold Bindloss," Project Gutenberg,  2008", Public domain in the USA., Text, Great Britain. Army -- Fiction, Military education -- Fiction, Military engineers -- Fiction,,, Project Gutenberg  25923, http://www.gutenberg.org/ebooks/25923
00618nas a2200217uu 4500," Alpi, Eero,  1885-1933", Koston henki :  Romaani  [electronic resource] /  Eero Alpi," Project Gutenberg,  2008", Public domain in the USA., Text, Fiction,,,,, Project Gutenberg  25924, http://www.gutenberg.org/ebooks/25924
00630nas a2200217uu 4500," Herculano, Alexandre,  1810-1877", Poesias  [electronic resource] /  Alexandre Herculano," Project Gutenberg,  2008", Public domain in the USA., Text, Portuguese poetry,,,,, Project Gutenberg  25925, http://www.gutenberg.org/ebooks/25925
00783nas a2200229uu 4500,, The 1926 Tatler  [electronic resource]," Project Gutenberg,  2008", Public domain in the USA., Text," Northrop Collegiate School (Minneapolis, Minn.) -- Students -- Yearbooks", Schools -- Minnesota -- Minneapolis -- Students -- Yearbooks,,,, Project Gutenberg  25926, http://www.gutenberg.org/ebooks/25926
00663nas a2200217uu 4500," Westcott, Edward Noyes,  1847-1898", The Christmas Story from David Harum  [electronic resource] /  Edward Noyes Westcott," Project Gutenberg,  2008", Public domain in the USA., Text, Christmas stories,,,,, Project Gutenberg  25927, http://www.gutenberg.org/ebooks/25927
00833nas a2200241uu 4500," Kingston, William Henry Giles,  1814-1880"," Norman Vallery; or, How to Overcome Evil with Good  [electronic resource] /  William Henry Giles Kingston"," Project Gutenberg,  2008", Public domain in the USA., Text, Christian life -- Juvenile fiction, Children -- Conduct of life -- Juvenile fiction, Brothers and sisters -- Juvenile fiction,,, Project Gutenberg  25928, http://www.gutenberg.org/ebooks/25928
00740nas a2200253uu 4500," James I, King of England,  1566-1625", Daemonologie.  [electronic resource] /  King of England James I," Project Gutenberg,  2008", Public domain in the USA., Text, Demonology," Fian, John, d. 1591", Witchcraft -- Scotland, Magic,, Project Gutenberg  25929, http://www.gutenberg.org/ebooks/25929
01145nas a2200241uu 4500,," The Philippine Islands, 1493-1898 — Volume 28 of 55 :   1637-38 Explorations by Early Navigators, Descriptions of the Islands and Their Peoples, Their History and Records of the Catholic Missions, as Related in Contemporaneous Books and Manuscripts, Showing the Political, Economic, Commercial and Religious Conditions of Those Islands from Their Earliest Relations with European Nations to the Close of the Nineteenth Century  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Missions -- Philippines, Philippines -- History -- Sources, Philippines -- Discovery and exploration, Demarcation line of Alexander VI,, Project Gutenberg  25930, http://www.gutenberg.org/ebooks/25930
00701nas a2200217uu 4500," Klein, Sydney T.  (Sydney Turner),  1853-1934"," Science and the Infinite; or, Through a Window in the Blank Wall  [electronic resource] /  Sydney T. Klein"," Project Gutenberg,  2008", Public domain in the USA., Text, Religion and science,,,,, Project Gutenberg  25931, http://www.gutenberg.org/ebooks/25931
00731nas a2200229uu 4500, Unknown, Short History of the London Rifle Brigade  [electronic resource] /  Unknown," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918 -- Regimental histories -- Great Britain", Great Britain. Army. London Rifle Brigade,,,, Project Gutenberg  25932, http://www.gutenberg.org/ebooks/25932
00737nas a2200217uu 4500,, English as She is Wrote :   Showing Curious Ways in which the English Language may be made to Convey Ideas or obscure them.  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text, American wit and humor, English language -- Idioms,,,, Project Gutenberg  25933, http://www.gutenberg.org/ebooks/25933
00769nas a2200241uu 4500," Testa, Carlos,  1823-1891", Portugal e Marrocos perante a historia e a politica europea  [electronic resource] /  Carlos Testa," Project Gutenberg,  2008", Public domain in the USA., Text, Portugal -- Foreign relations -- Morocco, Morocco -- Foreign relations -- Portugal,,,, Project Gutenberg  25934, http://www.gutenberg.org/ebooks/25934
00795nas a2200229uu 4500,," Northern Nut Growers Association Report of the Proceedings at the 43rd Annual Meeting :   Rockport, Indiana, August 25, 26 and 27, 1952  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Northern Nut Growers Association -- Periodicals, Nut trees -- Periodicals, Nuts -- Periodicals,,, Project Gutenberg  25935, http://www.gutenberg.org/ebooks/25935
00684nas a2200229uu 4500," Zschokke, Heinrich,  1771-1848", Kaleri-orja :  Kertomus rahvaan perheille  [electronic resource] /  Heinrich Zschokke," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories, Fiction,,,, Project Gutenberg  25936, http://www.gutenberg.org/ebooks/25936
01255nas a2200289uu 4500," Lyall, Alfred Comyn,  Sir,  1835-1911"," Studies in Literature and History  [electronic resource] /  Alfred Comyn, Lyall"," Project Gutenberg,  2008", Public domain in the USA., Text, English literature, History, Literature, Religion, Utilitarianism, Project Gutenberg  25937, http://www.gutenberg.org/ebooks/25937
00704nas a2200229uu 4500," Mainer, R. Henry  (Robert Henry),  1878-1965", Nancy McVeigh of the Monk Road  [electronic resource] /  R. Henry Mainer," Project Gutenberg,  2008", Public domain in the USA., Text, Older women -- Fiction, Canada -- Fiction,,,, Project Gutenberg  25938, http://www.gutenberg.org/ebooks/25938
00714nas a2200217uu 4500," Wise, Thomas James,  1859-1937", A Bibliography of the writings in Prose and Verse of George Henry Borrow  [electronic resource] /  Thomas James Wise," Project Gutenberg,  2008", Public domain in the USA., Text," Borrow, George, 1803-1881 -- Bibliography",,,,, Project Gutenberg  25939, http://www.gutenberg.org/ebooks/25939
00665nas a2200217uu 4500," De Quincey, Thomas,  1785-1859"," The Posthumous Works of Thomas De Quincey, Vol. 2  [electronic resource] /  Thomas De Quincey"," Project Gutenberg,  2008", Public domain in the USA., Text, English essays,,,,, Project Gutenberg  25940, http://www.gutenberg.org/ebooks/25940
00774nas a2200241uu 4500," Graham, Robert,  1822-1901"," Autobiography of Frank G. Allen, Minister of the Gospel :   and Selections from his Writings  [electronic resource] /  Robert Graham"," Project Gutenberg,  2008", Public domain in the USA., Text, Autobiographies, Clergy -- Kentucky -- Biography,,,, Project Gutenberg  25941, http://www.gutenberg.org/ebooks/25941
