LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
01029nas a2200277uu 4500," Viljoen, Ben J.  (Ben Johannis),  1868-1917", My Reminiscences of the Anglo-Boer War  [electronic resource] /  Ben J. Viljoen," Project Gutenberg,  2008", Public domain in the USA., Text, Generals -- South Africa -- Biography, Prisoners of war -- Great Britain -- Biography, Prisoners of war -- South Africa -- Biography," South African War, 1899-1902 -- Personal narratives"," South African War, 1899-1902 -- Prisoners and prisons, British", Project Gutenberg  25049, http://www.gutenberg.org/ebooks/25049
00768nas a2200253uu 4500," Riley, James Garfield,  1881-", A Study of American Beers and Ales  [electronic resource] /  James Garfield Riley," Project Gutenberg,  2008", Public domain in the USA., Text, Brewing industry -- United States, Beer -- United States, Ale -- United States,,, Project Gutenberg  25050, http://www.gutenberg.org/ebooks/25050
00674nas a2200229uu 4500," Leinster, Murray,  1896-1975", Space Platform  [electronic resource] /  Murray Leinster," Project Gutenberg,  2008", Public domain in the USA., Text," Science fiction, American",,,,, Project Gutenberg  25051, http://www.gutenberg.org/ebooks/25051
00746nas a2200217uu 4500," Fröding, Gustaf,  1860-1911"," Valittuja runoja :   Kokoelmista 'Guitarr och Dragharmonika', 'Nya Dikter' ja 'Räggler å Paschaser'  [electronic resource] /  Gustaf Fröding"," Project Gutenberg,  2008", Public domain in the USA., Text, Swedish poetry -- Translations into Finnish,,,,, Project Gutenberg  25052, http://www.gutenberg.org/ebooks/25052
00990nas a2200289uu 4500," Flaubert, Gustave,  1821-1880"," The Temptation of St. Antony; Or, A Revelation of the Soul  [electronic resource] /  Gustave Flaubert"," Project Gutenberg,  2008", Public domain in the USA., Text, Biographical fiction, Christian saints -- Fiction, Egypt -- Fiction," Anthony, of Egypt, Saint, approximately 250-355 or 356 -- Fiction", Christian fiction, Project Gutenberg  25053, http://www.gutenberg.org/ebooks/25053
00605nas a2200205uu 4500," Leumann, Carlos Alberto,  1887-", Adriana Zumarán  [electronic resource] /  Carlos Alberto Leumann," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25054, http://www.gutenberg.org/ebooks/25054
00695nas a2200229uu 4500," Hils, G.,  1595-1640"," The Odes of Casimire, Translated by G. Hils  [electronic resource] /  G. Hils"," Project Gutenberg,  2008", Public domain in the USA., Text, Latin poetry -- Translations into English, Latin poetry,,,, Project Gutenberg  25055, http://www.gutenberg.org/ebooks/25055
00744nas a2200229uu 4500," Becke, Louis,  1855-1913", The Brothers-In-Law :  A Tale Of The Equatorial Islands; and The Brass Gun Of The Buccaneers :  1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Oceania -- Fiction, Short stories,,,, Project Gutenberg  25056, http://www.gutenberg.org/ebooks/25056
00732nas a2200241uu 4500," Becke, Louis,  1855-1913"," The Adventure Of Elizabeth Morey, of New York :   1901  [electronic resource] /  Louis Becke"," Project Gutenberg,  2008", Public domain in the USA., Text, Oceania -- Fiction, Sea stories, Adventure stories,,, Project Gutenberg  25057, http://www.gutenberg.org/ebooks/25057
00770nas a2200253uu 4500," Becke, Louis,  1855-1913", Foster's Letter Of Marque :   A Tale Of Old Sydney - 1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Oceania -- Fiction, Courtship -- Fiction, Short stories, Sea stories,, Project Gutenberg  25058, http://www.gutenberg.org/ebooks/25058
00671nas a2200229uu 4500," Becke, Louis,  1855-1913", In The Far North :   1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories, Australia -- Fiction,,,, Project Gutenberg  25059, http://www.gutenberg.org/ebooks/25059
00668nas a2200229uu 4500," Becke, Louis,  1855-1913", Officer And Man :   1901  [electronic resource] /  Louis Becke," Project Gutenberg,  2008", Public domain in the USA., Text, Oceania -- Fiction, Short stories,,,, Project Gutenberg  25060, http://www.gutenberg.org/ebooks/25060
00669nas a2200229uu 4500," Garrett, Randall,  1927-1987", The Penal Cluster  [electronic resource] /  Randall Garrett," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction, Telepathy -- Fiction,,,, Project Gutenberg  25061, http://www.gutenberg.org/ebooks/25061
01192nas a2200229uu 4500," Davison, Charles,  1858-1940", A Study of Recent Earthquakes  [electronic resource] /  Charles Davison," Project Gutenberg,  2008", Public domain in the USA., Text, Earthquakes,,,,, Project Gutenberg  25062, http://www.gutenberg.org/ebooks/25062
00694nas a2200217uu 4500," Fraser, Claud Lovat,  1890-1921", The Beggar's Opera; to Which is Prefixed the Musick to Each Song  [electronic resource] /  Claud Lovat Fraser," Project Gutenberg,  2008", Public domain in the USA., Text, Ballad operas -- Librettos,,,,, Project Gutenberg  25063, http://www.gutenberg.org/ebooks/25063
00666nas a2200205uu 4500,," The New England Magazine Volume 1, No. 6, June, 1886, Bay State Monthly Volume 4, No. 6, June, 1886  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, New England -- Periodicals,,,,, Project Gutenberg  25064, http://www.gutenberg.org/ebooks/25064
00668nas a2200217uu 4500,," Blackwood's Edinburgh Magazine, Volume 54, No. 334, August 1843  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Periodicals, England -- Periodicals,,,, Project Gutenberg  25065, http://www.gutenberg.org/ebooks/25065
00658nas a2200217uu 4500,," Blackwood's Edinburgh Magazine, Volume 56, Number 348  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, England -- Periodicals, Scotland -- Periodicals,,,, Project Gutenberg  25066, http://www.gutenberg.org/ebooks/25066
00733nas a2200241uu 4500," Gallun, Raymond Z.,  1911-1994", The Planet Strappers  [electronic resource] /  Raymond Z. Gallun," Project Gutenberg,  2008", Public domain in the USA., Text, Outer space -- Exploration -- Fiction, Astronauts -- Fiction, Science fiction,,, Project Gutenberg  25067, http://www.gutenberg.org/ebooks/25067
